vertex_idx	demand	vertex_type	lat	long	TW_min	TW_max	route_idx	order_in_route	serv
1	0	D	47.282609	-1.520303	0	32400	-1	-1	-1
15	0	P	47.234018	-1.535018	0	32400	-1	-1	-1
15	0	P	47.234018	-1.535018	0	32400	-1	-1	-1
34	0	P	47.205724	-1.548747	0	32400	-1	-1	-1
34	0	P	47.205724	-1.548747	0	32400	-1	-1	-1
36	0	P	47.221261	-1.585622	0	32400	-1	-1	-1
36	0	P	47.221261	-1.585622	0	32400	-1	-1	-1
6	20	S	47.2211	-1.555272	18000	25200	-1	-1	-1
14	30	S	47.229771	-1.554525	3600	10800	-1	-1	-1
31	10	S	47.215738	-1.558752	14400	21600	-1	-1	-1
63	40	S	47.224371	-1.577142	18000	25200	-1	-1	-1
65	40	S	47.210957	-1.551387	25200	32400	-1	-1	-1
33	50	LS	47.214668	-1.567069	10800	18000	-1	-1	-1
53	90	LS	47.234715	-1.541116	1800	9000	-1	-1	-1
59	20	LS	47.214017	-1.58514	3600	10800	-1	-1	-1
97	60	LS	47.235269	-1.582865	23400	30600	-1	-1	-1
98	10	LS	47.22216	-1.606121	23400	30600	-1	-1	-1
1	0	D	47.282609	-1.520303	0	32400	-1	-1	-1
