vertex_idx	demand	vertex_type	lat	long	TW_min	TW_max	route_idx	order_in_route	serv
1	0	D	47.282609	-1.520303	0	32400	-1	-1	-1
30	0	P	47.229754	-1.572034	0	32400	-1	-1	-1
30	0	P	47.229754	-1.572034	0	32400	-1	-1	-1
30	0	P	47.229754	-1.572034	0	32400	-1	-1	-1
41	0	P	47.233521	-1.565815	0	32400	-1	-1	-1
41	0	P	47.233521	-1.565815	0	32400	-1	-1	-1
41	0	P	47.233521	-1.565815	0	32400	-1	-1	-1
84	0	P	47.212329	-1.579016	0	32400	-1	-1	-1
84	0	P	47.212329	-1.579016	0	32400	-1	-1	-1
84	0	P	47.212329	-1.579016	0	32400	-1	-1	-1
62	10	S	47.213511	-1.564416	3600	10800	-1	-1	-1
69	30	S	47.213179	-1.561797	16200	23400	-1	-1	-1
74	30	S	47.214815	-1.574247	3600	10800	-1	-1	-1
76	30	S	47.220906	-1.569911	3600	10800	-1	-1	-1
80	10	S	47.21602	-1.579557	25200	32400	-1	-1	-1
23	20	LS	47.222037	-1.596854	7200	14400	-1	-1	-1
33	50	LS	47.214668	-1.567069	10800	18000	-1	-1	-1
82	40	LS	47.228217	-1.578851	12600	19800	-1	-1	-1
87	90	LS	47.240526	-1.591229	23400	30600	-1	-1	-1
91	90	LS	47.236071	-1.584305	14400	21600	-1	-1	-1
93	60	LS	47.232531	-1.591553	21600	28800	-1	-1	-1
97	60	LS	47.235269	-1.582865	23400	30600	-1	-1	-1
1	0	D	47.282609	-1.520303	0	32400	-1	-1	-1
