vertex_idx	demand	vertex_type	lat	long	TW_min	TW_max	route_idx	order_in_route	serv
1	0	D	47.282609	-1.520303	0	32400	-1	-1	-1
41	0	P	47.233521	-1.565815	0	32400	-1	-1	-1
41	0	P	47.233521	-1.565815	0	32400	-1	-1	-1
64	0	P	47.20888	-1.5685	0	32400	-1	-1	-1
64	0	P	47.20888	-1.5685	0	32400	-1	-1	-1
14	30	S	47.229771	-1.554525	3600	10800	-1	-1	-1
61	10	S	47.227304	-1.542288	19800	27000	-1	-1	-1
74	30	S	47.214815	-1.574247	3600	10800	-1	-1	-1
80	10	S	47.21602	-1.579557	25200	32400	-1	-1	-1
23	20	LS	47.222037	-1.596854	72000	79200	-1	-1	-1
50	80	LS	47.252381	-1.567387	18000	25200	-1	-1	-1
83	30	LS	47.209999	-1.595902	5400	12600	-1	-1	-1
93	60	LS	47.232531	-1.591553	21600	28800	-1	-1	-1
1	0	D	47.282609	-1.520303	0	32400	-1	-1	-1
