vertex_idx	demand	vertex_type	lat	long	TW_min	TW_max	route_idx	order_in_route	serv
1	0	D	47.282609	-1.520303	0	32400	-1	-1	-1
17	0	P	47.214782	-1.528867	0	32400	-1	-1	-1
17	0	P	47.214782	-1.528867	0	32400	-1	-1	-1
84	0	P	47.212329	-1.579016	0	32400	-1	-1	-1
84	0	P	47.212329	-1.579016	0	32400	-1	-1	-1
9	40	S	47.216294	-1.551915	7200	14400	-1	-1	-1
12	50	S	47.219669	-1.55567	0	7200	-1	-1	-1
25	40	S	47.217716	-1.55174	1800	9000	-1	-1	-1
35	50	S	47.216722	-1.555231	7200	14400	-1	-1	-1
33	50	LS	47.214668	-1.567069	10800	18000	-1	-1	-1
38	50	LS	47.20822	-1.529422	16200	23400	-1	-1	-1
40	50	LS	47.202134	-1.544655	9000	16200	-1	-1	-1
86	40	LS	47.207237	-1.558786	18000	25200	-1	-1	-1
1	0	D	47.282609	-1.520303	0	32400	-1	-1	-1
