vertex_idx	demand	vertex_type	lat	long	TW_min	TW_max	route_idx	order_in_route	serv
1	0	D	47.282609	-1.520303	0	32400	-1	-1	-1
41	0	P	47.233521	-1.565815	0	32400	-1	-1	-1
41	0	P	47.233521	-1.565815	0	32400	-1	-1	-1
64	0	P	47.20888	-1.5685	0	32400	-1	-1	-1
64	0	P	47.20888	-1.5685	0	32400	-1	-1	-1
73	0	P	47.225871	-1.523495	0	32400	-1	-1	-1
73	0	P	47.225871	-1.523495	0	32400	-1	-1	-1
9	40	S	47.216294	-1.551915	7200	14400	-1	-1	-1
22	40	S	47.224999	-1.529539	23400	30600	-1	-1	-1
63	40	S	47.224371	-1.577142	18000	25200	-1	-1	-1
69	30	S	47.213179	-1.561797	16200	23400	-1	-1	-1
80	10	S	47.21602	-1.579557	25200	32400	-1	-1	-1
11	50	LS	47.235282	-1.50217	16200	23400	-1	-1	-1
16	60	LS	47.259222	-1.518944	3600	10800	-1	-1	-1
40	50	LS	47.202134	-1.544655	9000	16200	-1	-1	-1
87	90	LS	47.240526	-1.591229	23400	30600	-1	-1	-1
96	90	LS	47.209355	-1.611343	21600	28800	-1	-1	-1
1	0	D	47.282609	-1.520303	0	32400	-1	-1	-1
