vertex_idx	demand	vertex_type	lat	long	TW_min	TW_max	route_idx	order_in_route	serv
1	0	D	47.282609	-1.520303	0	32400	-1	-1	-1
17	0	P	47.214782	-1.528867	0	32400	-1	-1	-1
17	0	P	47.214782	-1.528867	0	32400	-1	-1	-1
34	0	P	47.205724	-1.548747	0	32400	-1	-1	-1
34	0	P	47.205724	-1.548747	0	32400	-1	-1	-1
14	30	S	47.229771	-1.554525	3600	10800	-1	-1	-1
21	20	S	47.219554	-1.534063	5400	12600	-1	-1	-1
35	50	S	47.216722	-1.555231	7200	14400	-1	-1	-1
63	40	S	47.224371	-1.577142	18000	25200	-1	-1	-1
59	20	LS	47.214017	-1.58514	3600	10800	-1	-1	-1
77	100	LS	47.239172	-1.570886	16200	23400	-1	-1	-1
92	80	LS	47.228719	-1.604925	14400	21600	-1	-1	-1
95	100	LS	47.207209	-1.505761	3600	10800	-1	-1	-1
1	0	D	47.282609	-1.520303	0	32400	-1	-1	-1
